Energy	All	Alpha	Beta	Gama	Other
886	0	0	0	0	0
887	1	1	0	0	0
888	0	0	0	0	0
889	2	2	0	0	0
890	2	2	0	0	0
891	1	1	0	0	0
892	2	2	0	0	0
893	0	0	0	0	0
894	0	0	0	0	0
895	1	1	0	0	0
896	0	0	0	0	0
897	2	2	0	0	0
898	1	1	0	0	0
899	1	1	0	0	0
900	1	1	0	0	0
901	0	0	0	0	0
902	0	0	0	0	0
903	0	0	0	0	0
904	1	1	0	0	0
905	2	2	0	0	0
906	0	0	0	0	0
907	0	0	0	0	0
908	0	0	0	0	0
909	1	1	0	0	0
910	1	1	0	0	0
911	0	0	0	0	0
912	0	0	0	0	0
913	0	0	0	0	0
914	0	0	0	0	0
915	1	1	0	0	0
916	1	1	0	0	0
917	2	2	0	0	0
918	1	1	0	0	0
919	0	0	0	0	0
920	0	0	0	0	0
921	1	1	0	0	0
922	0	0	0	0	0
923	0	0	0	0	0
924	0	0	0	0	0
925	1	0	1	0	0
926	1	0	1	0	0
927	1	0	1	0	0
928	0	0	0	0	0
929	0	0	0	0	0
930	1	1	0	0	0
931	0	0	0	0	0
932	1	1	0	0	0
933	2	2	0	0	0
934	0	0	0	0	0
935	0	0	0	0	0
936	2	2	0	0	0
937	1	1	0	0	0
938	2	2	0	0	0
939	0	0	0	0	0
940	0	0	0	0	0
941	0	0	0	0	0
942	0	0	0	0	0
943	1	1	0	0	0
944	1	1	0	0	0
945	0	0	0	0	0
946	0	0	0	0	0
947	0	0	0	0	0
948	1	1	0	0	0
949	1	0	1	0	0
950	0	0	0	0	0
951	0	0	0	0	0
952	0	0	0	0	0
953	0	0	0	0	0
954	0	0	0	0	0
955	0	0	0	0	0
956	2	1	1	0	0
957	0	0	0	0	0
958	0	0	0	0	0
959	0	0	0	0	0
960	1	1	0	0	0
961	0	0	0	0	0
962	1	1	0	0	0
963	0	0	0	0	0
964	0	0	0	0	0
965	0	0	0	0	0
966	0	0	0	0	0
967	0	0	0	0	0
968	1	1	0	0	0
969	0	0	0	0	0
970	1	1	0	0	0
971	0	0	0	0	0
972	0	0	0	0	0
973	0	0	0	0	0
974	0	0	0	0	0
975	0	0	0	0	0
976	1	1	0	0	0
977	0	0	0	0	0
978	0	0	0	0	0
979	0	0	0	0	0
980	0	0	0	0	0
981	1	1	0	0	0
982	0	0	0	0	0
983	0	0	0	0	0
984	0	0	0	0	0
985	2	2	0	0	0
986	0	0	0	0	0
987	0	0	0	0	0
988	1	1	0	0	0
989	0	0	0	0	0
990	0	0	0	0	0
991	0	0	0	0	0
992	0	0	0	0	0
993	0	0	0	0	0
994	0	0	0	0	0
995	2	1	1	0	0
996	2	1	1	0	0
997	0	0	0	0	0
998	0	0	0	0	0
999	0	0	0	0	0
1000	0	0	0	0	0
1001	0	0	0	0	0
1002	0	0	0	0	0
1003	0	0	0	0	0
1004	0	0	0	0	0
1005	1	1	0	0	0
1006	0	0	0	0	0
1007	0	0	0	0	0
1008	0	0	0	0	0
1009	1	1	0	0	0
1010	1	1	0	0	0
1011	1	1	0	0	0
1012	0	0	0	0	0
1013	0	0	0	0	0
1014	0	0	0	0	0
1015	0	0	0	0	0
1016	0	0	0	0	0
1017	2	2	0	0	0
1018	0	0	0	0	0
1019	1	0	1	0	0
1020	1	1	0	0	0
1021	1	1	0	0	0
1022	0	0	0	0	0
1023	0	0	0	0	0
1024	0	0	0	0	0
1025	2	2	0	0	0
1026	0	0	0	0	0
1027	0	0	0	0	0
1028	0	0	0	0	0
1029	0	0	0	0	0
